id,date,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities
1296,11/13/09,San Vito,18.00524,,8.8021,-83.1335,"(8.8020999999999994, -83.133499999999998)",Landslide,Landslide,Medium,Earthquake,,,1
1307,11/17/09,Alton,1.54044,,38.898,-90.1993,"(38.898000000000003, -90.199299999999994)",Landslide,Mudslide,Small,Downpour,,,0
1353,12/09/2009,Chattanooga,5.97545,,35.0672,-85.3697,"(35.0672, -85.369699999999995)",Landslide,Mudslide,Small,Downpour,,,0
1354,12/09/2009,Signal Mountain,2.05274,,35.1052,-85.3361,"(35.105200000000004, -85.336100000000002)",Landslide,Mudslide,Small,Downpour,,,0
1355,12/09/2009,Signal Mountain,2.47169,,35.1307,-85.3186,"(35.130699999999997, -85.318600000000004)",Landslide,Mudslide,Small,Downpour,,,0
1357,12/12/2009,Louisiana,7.60154,,39.4052,-90.9836,"(39.405200000000001, -90.983599999999996)",Landslide,Landslide,Small,Rain,,,0
1358,12/13/09,Running Springs,8.91845,,34.2425,-117.0219,"(34.2425, -117.0219)",Landslide,Complex,Small,Downpour,,,0
1367,12/18/09,Purvis,17.4013,,31.1345,-89.2276,"(31.134499999999999, -89.227599999999995)",Landslide,Mudslide,Small,Downpour,,,0
1391,01/10/2010,Moore Town,5.02351,,18.1167,-76.45,"(18.116700000000002, -76.45)",Landslide,Landslide,Medium,Downpour,,,0
1393,01/10/2010,Machachi,26.18676,,-0.4167,-78.7833,"(-0.41670000000000001, -78.783299999999997)",Landslide,Mudslide,Medium,Rain,,,3
1431,1/21/10,Valley Center,5.7125,,33.1677,-117.0232,"(33.167700000000004, -117.0232)",Landslide,Mudslide,Small,Downpour,,,0
1434,1/21/10,Tonto Basin,16.48124,,33.8342,-111.4726,"(33.834200000000003, -111.4726)",Landslide,Complex,Small,Downpour,,,0
1435,1/21/10,Morongo Valley,1.35292,,34.0373,-116.5898,"(34.037300000000002, -116.5898)",Landslide,Debris flow,Small,Downpour,,,0
1439,1/21/10,Aguanga,12.95887,,33.4685,-117.001,"(33.468499999999999, -117.001)",Landslide,Mudslide,Small,Downpour,,,0
1441,1/22/10,Cordes Lakes,12.98377,,34.1933,-112.1327,"(34.193300000000001, -112.1327)",Landslide,Mudslide,Small,Downpour,,,0
1448,1/24/10,Rural Hall,7.54867,,36.2967,-80.2462,"(36.296700000000001, -80.246200000000002)",Landslide,Mudslide,Small,Downpour,,,0
1449,1/24/10,Madisonville,8.55137,,35.4962,-84.2738,"(35.496200000000002, -84.273799999999994)",Landslide,Mudslide,Small,Downpour,,,0
1450,1/24/10,Signal Mountain,2.56584,,35.1328,-85.3186,"(35.132800000000003, -85.318600000000004)",Landslide,Mudslide,Small,Downpour,,,0
